node_1|node_2|edge|chunk_id
india's health indicators|peer nations|Continue to lag behind|50d1f6861fe44f0da0e5a3a4a2394ba2
active health workers density|who threshold|Much lower than|50d1f6861fe44f0da0e5a3a4a2394ba2
health indicators|universal health coverage|Accelerate its progress toward achieving|50d1f6861fe44f0da0e5a3a4a2394ba2
skilled personnel|paucity of skilled personnel|Must be addressed if India is to|50d1f6861fe44f0da0e5a3a4a2394ba2
health system in india|growing divide between the public and the private health sector systems|Are analyzed|50d1f6861fe44f0da0e5a3a4a2394ba2
private health sector systems|booming medical tourism industry|And medical schools|50d1f6861fe44f0da0e5a3a4a2394ba2
national medical council|recommended policies that would help india achieve its sdgs|Are analyzed and recommended|50d1f6861fe44f0da0e5a3a4a2394ba2
health sector reform|indian public health standards|In India, the government has initiated a health sector reform program which includes revising and implementing new public health standards known as Indian Public Health Standards (IPHS). The IPHS aims to improve healthcare services and address issues related to working conditions in the health sector, especially for auxiliary nurse midwives (ANMs) who are a critical part of the healthcare system.|8dfb1e986d884bca8b61df3ed4e3a1f0
indian public health standards|auxiliary nurse midwives|Under the Indian Public Health Standards, specific guidelines have been outlined to improve working conditions for auxiliary nurse midwives (ANMs). These guidelines include provisions for safe and hygienic work environments, sufficient staffing, proper training and education, and access to necessary equipment and resources.|8dfb1e986d884bca8b61df3ed4e3a1f0
auxiliary nurse midwives|human resource|In the context of health policy in India, there is a recognition that human resource (HR) management practices are critical for improving healthcare services and addressing workforce issues. As part of this effort, HR policies have been developed to address recruitment, training, retention, and career development for ANMs and other healthcare workers.|8dfb1e986d884bca8b61df3ed4e3a1f0
human resource|health policy|The relationship between human resource (HR) management practices and health policy in India is significant. HR policies are essential components of broader health sector reform initiatives, aimed at improving healthcare delivery, reducing healthcare disparities, and promoting universal access to quality healthcare services.|8dfb1e986d884bca8b61df3ed4e3a1f0
india's health indicators|who recommended thresholds|India's health indicators lag behind those of its peer nations and the country has an estimated active health workers' density much lower than the WHO recommended thresholds.|0a6bc51fddcc4fa5a45421e6f1354726
public sector|private sector|The authors describe the issue of paucity of skilled personnel by providing an overview of the public and private sectors, highlighting their divergent strategies with the latter now having a booming medical tourism industry and a burgeoning number of medical schools.|0a6bc51fddcc4fa5a45421e6f1354726
federal health budget|recent increase in federal health budget|The authors identify the opportunities available within the newly created National Medical Council and the recent increase in the federal health budget.|0a6bc51fddcc4fa5a45421e6f1354726
transparent governance|upskilling the existing workforce|The recommendations made to address the paucity of quality health personnel include the creation of transparent governance and upskilling the existing workforce.|0a6bc51fddcc4fa5a45421e6f1354726
health infrastructure|existing workforce|The recommendations made to address the paucity of quality health personnel also include strengthening the health infrastructure and creating partnerships with the much larger private sector.|0a6bc51fddcc4fa5a45421e6f1354726
extensive literature search|peer-reviewed journals|involves submitting manuscripts to these publications for rigorous evaluation by experts in the field before acceptance|b693903eb6184760acf095052c24c0e9
56 articles|peer-reviewed journals|were published in these journals during the time period of 2005 to 2021|b693903eb6184760acf095052c24c0e9
corresponding authors' experiential knowledge|analysis|formed the basis for this analysis|b693903eb6184760acf095052c24c0e9
national health mission (nhm)|government-funded health sector|The National Health Mission (NHM) is a government initiative launched in 2005 to improve the healthcare services provided by the underfunded public health sector, which serves vulnerable populations. The public health sector has been chronically underfunded with only 1.28% of the GDP being allocated towards it. This results in India having only 0.7 hospital beds per 100,000 people and a doctor-to-population ratio of 0.576 physicians per 1,000 population in 2000 (compared to the WHO's recommended ratio of 1:1,000). The lack of focus on quality has failed to improve healthcare indicators.|26d82dec40f8497bb4b35c4fe9d2942b
private health sector|government-funded health sector|The private health sector, which is primarily for-profit, dominates the healthcare industry due to a perceived higher quality of care compared to the underfunded public health sector. While the government-funded health sector serves vulnerable populations, the private health sector consumes 5.1% of the GDP and is financed by Out-Of-Pocket (OOP) expenditure.|26d82dec40f8497bb4b35c4fe9d2942b
india|public hospital beds per 100,000 people|As of now, India has only 0.7 public hospital beds per 100,000 people.|26d82dec40f8497bb4b35c4fe9d2942b
india|doctor-to-population ratio|In the year 2000, India had a doctor-to-population ratio of only 0.576 physicians per 1,000 population.|26d82dec40f8497bb4b35c4fe9d2942b
world health organization (who)|recommended doctor-to-population ratio|The World Health Organization (WHO) recommends a doctor-to-population ratio of 1:1,000.|26d82dec40f8497bb4b35c4fe9d2942b
world-class health facilities|india|India has become a leading destination for medical tourism due to the existence of world-class health facilities in urban areas.|638b34cf27544124971669cd5273c966
urban areas|world-class health facilities|World-class health facilities exist in urban areas in India, making it a leading destination for medical tourism.|638b34cf27544124971669cd5273c966
informal providers|urban slums and rural areas|The informal providers are concentrated in urban slums and rural areas where they are the first choice of care due to their long-standing trusted constant presence in these communities and adaptation to social, economic, and cultural norms.|638b34cf27544124971669cd5273c966
communitization|nhm strategies|The NHM has sought to address health challenges through the communitization approach as part of its strategies.|638b34cf27544124971669cd5273c966
flexible financing|nhm strategies|The NHM has also sought to address health challenges through the flexible financing approach as part of its strategies.|638b34cf27544124971669cd5273c966
improved management through capacity building|nhm strategies|The NHM has additionally sought to address health challenges through the improved management through capacity building approach as part of its strategies.|638b34cf27544124971669cd5273c966
monitoring progress against standards|nhm strategies|Moreover, the NHM has sought to address health challenges through monitoring progress against standards as part of its strategies.|638b34cf27544124971669cd5273c966
innovations in human resource management|nhm strategies|Finally, the NHM has also sought to address health challenges through innovations in human resource management as part of its strategies.|638b34cf27544124971669cd5273c966
primary healthcare|multiple new cadres|The NHM has created multiple new cadres to provide primary healthcare and accelerate the pace toward universal health coverage.|638b34cf27544124971669cd5273c966
female community health workers|asha|In the context provided, 'female community health workers' and 'ASHA' are interchangeable terms as both refer to a cadre of women working in healthcare. While 'female community health workers' is a broader term, 'ASHA' specifically refers to Accredited Social Health Activists, who are part of this cadre. Both concepts are related due to their roles in providing healthcare services to the community.|f3a564b99e814bcdb89612a9b3ae773d
asha|anm|In the context provided, 'ASHA' and 'ANM' have a relationship of task shifting. While ANMs are meant to serve a population of 5,000 but in reality, serve up to 20,00 people, ASHAs, who are typically high school graduates with less than 8 years of education compared to the high school graduation required for ANMs, have been employed to increase the reach of ANM services. This exercise raises concerns about the quality and effectiveness of healthcare delivery due to the difference in training and status between the two cadres.|f3a564b99e814bcdb89612a9b3ae773d
rural medical assistants (rmas)|primary health centers|The RMAs work at Primary Health Centers.|d6cef5531b4446e2bee034adbeefb631
rural medical assistants (rmas)|initial evaluation|The initial evaluation of the RMAs is positive.|d6cef5531b4446e2bee034adbeefb631
contractual personnel|regular counterparts|Contractual employees have lower remuneration as compared to their regular counterparts.|0e7a8441d5334a4db78f0315153105b1
contractual personnel|delayed salary payments|Salary payments are delayed for contractual employees.|0e7a8441d5334a4db78f0315153105b1
contractual personnel|temporary nature of contracts|The temporary nature of contracts remains a cause of concern for contractual employees.|0e7a8441d5334a4db78f0315153105b1
public sector workforce|demotivating working conditions|Working conditions in the public sector remain demotivating.|0e7a8441d5334a4db78f0315153105b1
doctors and nurses|contractual posts in rural areas|Doctors and nurses are incentivized to accept contractual posts in rural areas.|0e7a8441d5334a4db78f0315153105b1
ayush doctors|bridge courses in allopathic medicine|Doctors trained in Indian systems of medicine such as Ayurveda, Siddha, and Unani (AYUSH) are trained in bridge courses in allopathic medicine.|0e7a8441d5334a4db78f0315153105b1
public sector workforce|low retention rates|Low retention rates of these personnel.|0e7a8441d5334a4db78f0315153105b1
contractual employees|dissatisfaction levels|Dissatisfaction levels remaining high among contractual employees.|0e7a8441d5334a4db78f0315153105b1
public sector workforce|poor infrastructure and supply chain issues|Poor infrastructure and supply chain issues demotivate all employees.|0e7a8441d5334a4db78f0315153105b1
doctors|communities against doctors|Increasing incidents of violence by communities against doctors.|0e7a8441d5334a4db78f0315153105b1
system failings|doctors|demotivate doctors and encourage them to seek other opportunities|ea88189558e84836b032dfe7918b1bfe
private health sector|majority of doctors|(65%) [1] work in the private health sector. This share continues to grow.|ea88189558e84836b032dfe7918b1bfe
indian-born physicians'|emigration|with more than 60,000 Indian-born physicians’ now practicing in high-income countries [21].|ea88189558e84836b032dfe7918b1bfe
ayushman bharat|poor|is designed to allow them to access primary care from health and wellness centers and avail secondary and tertiary care services from participating private health facilities [22].|ea88189558e84836b032dfe7918b1bfe
ayushman bharat|improved governance and quality control|thereby accelerating India’s progress toward its SDG goals|ea88189558e84836b032dfe7918b1bfe
ayushman bharat|financial protection|however, a recent performance evaluation [24] shows the scheme has not succeeded in improving access or providing financial protection.|ea88189558e84836b032dfe7918b1bfe
similar schemes|states|but results, at best have been mixed [25-28]|ea88189558e84836b032dfe7918b1bfe
private health sector|unmet demand for healthcare services|The for-profit private health sector has perceived opportunities in this unmet demand for healthcare services.|fd42f80d2ee743e7818668ee825590d6
private health sector|preferred provider of care|Patients see the private health sector as providing services that are more available and of a higher quality.|fd42f80d2ee743e7818668ee825590d6
private health sector|medicalization and corporatization|The trend towards medicalization and corporatization remains largely unregulated in the private health sector.|fd42f80d2ee743e7818668ee825590d6
primary care|eclipsed by secondary and tertiary care|In the private health sector, primary care is frequently eclipsed by more expensive secondary and tertiary care.|fd42f80d2ee743e7818668ee825590d6
private health sector|corporate houses|Since the turn of the century, the private health sector has become dominated by corporate houses in urban areas.|fd42f80d2ee743e7818668ee825590d6
private health sector|expanding to tier ii and iii cities|The private health sector is rapidly expanding to tier II and III cities.|fd42f80d2ee743e7818668ee825590d6
out-of-pocket expenditure|private health sector|In 2014, the private health sector accounted for 62% of total out-of-pocket expenditure (US$60.6 billion) on healthcare.|fd42f80d2ee743e7818668ee825590d6
medical tourism|private health sector|The private health sector attracts patients from around the world, with nearly 234,000 coming into the country in 2015.|fd42f80d2ee743e7818668ee825590d6
private health sector|influx of $3 billion|The private health sector brings an influx of $3 billion through medical tourism, making India the third most popular destination worldwide for medical tourism.|fd42f80d2ee743e7818668ee825590d6
private sector|profitable medical colleges|The private sector has invested heavily in setting up medical colleges which have proven to be profitable.|6ea38b10fa014d2587fcde901431ca0e
india|highest number per population in the world|As of May 21, 2020, India has the highest number per population of medical colleges in the world.|6ea38b10fa014d2587fcde901431ca0e
fees|high fees|The fees charged by private medical colleges are high, as much as 100 times those of government colleges.|6ea38b10fa014d2587fcde901431ca0e
doctors graduating|paltry remuneration offered by contractual government posts|Doctors graduating from private medical colleges are not attracted to the paltry remuneration offered by contractual government posts.|6ea38b10fa014d2587fcde901431ca0e
private sector|largest employer of doctors in india|In practice, the private sector is the largest employer of doctors in India.|6ea38b10fa014d2587fcde901431ca0e
performance targets|corporate sector imposes performance targets and practice constraints on doctors’ professional autonomy|In an effort to maximize profit, the corporate sector imposes performance targets and practice constraints on doctors’ professional autonomy.|6ea38b10fa014d2587fcde901431ca0e
doctors’ professional autonomy|constraints on doctors’ professional autonomy|The corporate sector imposes constraints on doctors’ professional autonomy in an effort to maximize profit.|6ea38b10fa014d2587fcde901431ca0e
star doctors|set their rules but the majority of young and early career doctors face a simultaneous erosion of their status and opportunity|A small number of ‘star’ doctors with flourishing practices can set their rules but the majority of young and early career doctors face a simultaneous erosion of their status and opportunity.|6ea38b10fa014d2587fcde901431ca0e
total expenditure on health in india|gdp of india|The total expenditure on health in India is 3.84% of its GDP|6eb66792285f41e894af4a622931ab46
healthcare in india|total expenditure on health in india|Healthcare in India is the total expenditure on health in India|6eb66792285f41e894af4a622931ab46
government of india|allocation to healthcare in budget|The Government of India has allocated about 1.29% of its budget to healthcare|6eb66792285f41e894af4a622931ab46
national health policy 2017|government of india|The National Health Policy 2017 is a commitment by the Government of India|6eb66792285f41e894af4a622931ab46
domestic general government health expenditure|india|In comparison to India, the Domestic General Government Health Expenditure for other countries include: US with close to 18%, Brazil with 4%, and China's 2.9%|6eb66792285f41e894af4a622931ab46
government of india|national health policy 2017|The Government of India has committed to increase the allocation to healthcare to 2.5% by 2025 as stated in the National Health Policy 2017|6eb66792285f41e894af4a622931ab46
government must increase its share|government of india|The Government must increase its share of expenditure to put it further in line with other middle-income countries and its neighbors|6eb66792285f41e894af4a622931ab46
national health protection mission|healthcare infrastructure|The National Health Protection Mission has limited uptake, indicating a low utilization capacity of the healthcare infrastructure. This highlights the need to enhance the financial allocation and its utilization capacity to improve efficiency in the public health system.|d3b877551d97489aa113d2e46db53312
national health protection mission|health insurance|The majority of Indians, both urban and rural, do not have health insurance, which could potentially limit their access to healthcare services under the National Health Protection Mission.|d3b877551d97489aa113d2e46db53312
public health system|financial allocation|The public health system is currently unable to utilize even 1% of the GDP that has traditionally been available to it. With a doubling of the federal government’s allocation in 2022, its capacity to do so must be increased to improve efficiency.|d3b877551d97489aa113d2e46db53312
public health system|health infrastructure|The financial allocation and its utilization capacity need to be enhanced to increase the healthcare infrastructure's ability to provide efficient services within the public health system.|d3b877551d97489aa113d2e46db53312
government healthcare system|institutional capacity building|Capacity building and competency-based training in the government healthcare system are required for aligning the country's health services with local priorities, as India exhibits its diversity in population and disease profiles.|d3b877551d97489aa113d2e46db53312
evin|digital technology|In India and the US, digital technology is being used to facilitate vaccination programs through a system called eVin that tracks vaccine availability and facilitates cold chain maintenance for national immunization programs.|bd00226fa3624fa8b7b5f01935a2266e
evin|covid- 19 vaccination|The widespread use of eVin is accelerating Covid- 19 vaccination in India.|bd00226fa3624fa8b7b5f01935a2266e
online training management information systems|digital technology|Indigenously developed Online Training Management Information Systems are helping to schedule training for new personnel, maintain records, and facilitate monitoring, evaluation, and policy formulation through the use of digital technology.|bd00226fa3624fa8b7b5f01935a2266e
mobile health apps|personalized care|Mobile health apps are enhancing opportunities for personalized care.|bd00226fa3624fa8b7b5f01935a2266e
wearable, trackable technology|personalized care|Wearable, trackable technology is also enhancing opportunities for personalized care.|bd00226fa3624fa8b7b5f01935a2266e
mobile health apps|self-management|Mobile health apps are enhancing opportunities for self-management.|bd00226fa3624fa8b7b5f01935a2266e
wearable, trackable technology|self-management|Wearable, trackable technology is also enhancing opportunities for self-management.|bd00226fa3624fa8b7b5f01935a2266e
mobile health apps|behavior modification|Mobile health apps are enhancing opportunities for behavior modification.|bd00226fa3624fa8b7b5f01935a2266e
wearable, trackable technology|behavior modification|Wearable, trackable technology is also enhancing opportunities for behavior modification.|bd00226fa3624fa8b7b5f01935a2266e
mobile health apps|tele-monitoring of patients|Mobile health apps are enabling tele-monitoring of patients.|bd00226fa3624fa8b7b5f01935a2266e
wearable, trackable technology|tele-monitoring of patients|Wearable, trackable technology is also facilitating tele-monitoring of patients.|bd00226fa3624fa8b7b5f01935a2266e
telemedicine|healthcare delivery|The COVID-19 pandemic has catalyzed the pace and scale of telemedicine in delivering vital healthcare, enabling populations to receive care who would have been denied it otherwise. The uptake of telemedicine for consultations with healthcare providers increased 50 to 175 times in the US during the pandemic.|9aa52daec6db44818e45e486bd652bfc
covid-19 diagnosis|ai-embedded logarithms|AI-embedded logarithms now diagnose COVID-19 disease from chest x-rays and CT scans.|9aa52daec6db44818e45e486bd652bfc
ophthalmic examination|telemedicine|Doctors can now perform an ophthalmic fundal examination online.|9aa52daec6db44818e45e486bd652bfc
orthopedic examination|remote examination|Standards for conducting remote orthopedic examinations are now used successfully.|9aa52daec6db44818e45e486bd652bfc
drones|medicine delivery|Drones are being used to deliver medicines to communities.|9aa52daec6db44818e45e486bd652bfc
protective equipment|3d printing|A shortage of protective equipment during the pandemic was overcome by manufacturing it locally using 3D printing.|9aa52daec6db44818e45e486bd652bfc
