event,ideology,text
Iranian President Raisi Killed in Helicopter Crash,liberal,"Iranian President Ebrahim Raisi and his foreign minister were killed in a helicopter crash in mountainous terrain and icy weather, Iran's state television confirmed on Monday, after search teams located the wreckage in East Azerbaijan province.
The head of Iran’s Red Crescent, Pir Hossein Kolivand, earlier told state television that ""no sign"" of life was detected amongst the passengers of the helicopter that crashed on Sunday afternoon.
""Upon finding the helicopter, there was no sign of the helicopter passengers being alive as of yet,"" state TV reported.
Foreign Minister Hossein Amir-Abdollahian, East Azerbaijan Governor..."
Iranian President Raisi Killed in Helicopter Crash,center,"Iranian President Ebrahim Raisi was killed in a helicopter crash on Sunday, depriving Supreme Leader Ayatollah Ali Khamenei of a longtime ally as Tehran angles for regional dominance through armed militias that are fighting the U.S. and Israel.
Raisi’s death was announced early Monday, after state television reported Sunday afternoon that a helicopter carrying him and Foreign Minister Hossein Amir-Abdollahian had made a “difficult landing” in northwestern Iran.
Hours after Raisi’s death was confirmed, Khamenei announced five days of national mourning and appointed Mohammad Mokhber, first vice president, as the new head of the executive branch.
Ali Bagheri-Kani,..."
Iranian President Raisi Killed in Helicopter Crash,conservative,"Iranian president Ebrahim Raisi, Foreign Minister Hossein Amirabdollahian, and others were confirmed dead after their helicopter crashed on Sunday, Iranian officials and state media said Monday, disrupting the power structure in Tehran as Supreme Leader Ayatollah Khameini continues his increasingly aggressive campaign for regional dominance.
After Raisi’s death was reported by state media, Khameini announced five days of national mourning and appointed Mohammad Mokhber, first vice president, to temporarily succeed Raisi as president. An election to determine Raisi’s official successor for the next four years is supposed to take place..."
Trump Compares Biden Administration to ‘Gestapo’ at Private Donor Event,liberal,"The White House denounced former President Trump Sunday over reports that he compared President Biden's administration to the Gestapo, the Nazi-era secret police force in Germany.
The big picture: The New York Times first reported that Trump made the comments after criticizing indictments against him at a private donor event in Florida Saturday, days after a New York judge found him in contempt for violating a gag order in his hush money trial.
""These people are running a Gestapo administration,"" Trump said, according to audio obtained by the NYT. ""And it's the only thing they have. And it's the only..."
Trump Compares Biden Administration to ‘Gestapo’ at Private Donor Event,center,"Republican presidential candidate Donald Trump accused Democratic rival President Joe Biden of running a ""Gestapo administration"" in a private address to donors in which he also attacked prosecutors involved in his criminal indictments, according to a recording heard by U.S. media outlets.
Trump, whose own rhetoric has drawn accusations of fascist tendencies from civil rights groups and other critics, made the comparison with the Nazi police in Germany's World War Two regime at a donor retreat Saturday night at his Mar-a-Lago resort in Palm Beach, Florida.
The comments came after Trump reprised his complaint..."
Trump Compares Biden Administration to ‘Gestapo’ at Private Donor Event,conservative,"Former President Donald Trump took his war of words against his election opponent, President Joe Biden, to a new level on Saturday, reportedly comparing his opponent’s administration to the “Gestapo.”
Trump made the comparison between the Biden administration and the secret police in Nazi Germany during a private donor event at Mar-a-Lago on Saturday, according to multiple reports citing audio from the event.
“These people are running a Gestapo administration,” Trump said, according to NBC News. “And it’s the only thing they have. And it’s the only way they’re going to win in their opinion.”..."
Biden Campaign Raises $30 Million At Star-Studded Hollywood Fundraiser,liberal,"Some of Hollywood’s brightest stars headlined a fundraiser for President Joe Biden that took in a record $30 million-plus for a Democratic candidate, according to his campaign, in hopes of energizing would-be supporters for a White House contest they said may rank among the most consequential in U.S. history.
George Clooney, Julia Roberts and Barbra Streisand were among those who took the stage at the 7,100-seat Peacock Theater in Los Angeles on Saturday night. Late-night host Jimmy Kimmel interviewed Biden and former President Barack Obama, who both stressed the need to defeat former President Donald Trump in a..."
Biden Campaign Raises $30 Million At Star-Studded Hollywood Fundraiser,center,"President Joe Biden slammed the U.S. Supreme Court as ""out of kilter"" at a glitzy fundraiser in Los Angeles on Saturday with former President Barack Obama and top Hollywood celebrities that has raised over $30 million.
Late-night TV host Jimmy Kimmel began by showing a video montage contrasting Biden's record with that of his predecessor and current Republican challenger Donald Trump. He drew cheers from the audience at a packed Peacock Theater in downtown Los Angeles, where Hollywood celebrities George Clooney and Julia Roberts were among the guests.
Biden, a Democrat who has frequently denounced specific..."
Biden Campaign Raises $30 Million At Star-Studded Hollywood Fundraiser,conservative,"President Joe Biden took aim at the 'far out' conservative Supreme Court and blasted Donald Trump while appearing alongside former President Obama at a glitzy fundraiser in Los Angeles on Saturday night as protesters gathered outside.
The president was on the west coast to raise money for his reelection bid alongside Obama at the celebrity-packed event fresh off a trip to the G7 in Italy.
The event raised more than $30 million for the president's campaign according to a campaign official and was attended by Hollywood royalty including George Clooney, Julia Roberts and Barbra Streisand."
Education Secretary Says Federal Student Loan Pause Will Soon End,liberal,"Education Secretary Miguel Cardona said that the current pause on student loan repayments will end ""no later than June 30.""
Driving the news: ""The emergency period is over and we're preparing our borrowers to restart,"" Cardona said Thursday at a Senate appropriations committee hearing.
The current pause on student loan repayments, announced in November, is set to end 60 days after June 30, or 60 days after the Supreme Court issues its long-awaited ruling on debt relief.
The big picture: The Biden administration's student loan forgiveness plan currently remains in legal limbo, but the Supreme Court during oral arguments in..."
