node_1|node_2|edge|chunk_id
ebrahim raisi|ayatollah ali khamenei|longtime ally of Ayatollah Ali Khamenei, Iranian President Ebrahim Raisi was killed in a helicopter crash.|6756758b6fdb47ce97d4175a1558def0
ebrahim raisi|tehran|region through armed militias that are fighting the U.S. And Israel, Iranian President Ebrahim Raisi was involved in angles for regional dominance.|6756758b6fdb47ce97d4175a1558def0
hossein amir-abdollahian|ebrahim raisi|was traveling with Iranian President Ebrahim Raisi in a helicopter crash.|6756758b6fdb47ce97d4175a1558def0
mohammad mokhber|ebrahim raisi|appointed as the new head of the executive branch after the death of Iranian President Ebrahim Raisi.|6756758b6fdb47ce97d4175a1558def0
ali bagheri-kani|ebrahim raisi|took over as caretaker foreign minister after the death of Ebrahim Raisi, who also served as foreign minister.|6756758b6fdb47ce97d4175a1558def0
donald trump|gestapo administration|In a private address to donors, Donald Trump accused Democratic rival President Joe Biden of running a 'Gestapo administration'. This comparison with the Nazi police in Germany's World War Two regime at his Mar-a-Lago resort in Palm Beach, Florida has drawn accusations of fascist tendencies from civil rights groups and other critics.|f044921e97ae442ea9ad8daf6ba19a88
donald trump|criminal indictments|At the same event, Donald Trump also attacked prosecutors involved in his criminal indictments.|f044921e97ae442ea9ad8daf6ba19a88
president joe biden|u.s. supreme court|Biden slammed the U.S. Supreme Court as 'out of kilter' during a fundraiser in Los Angeles, indicating his disapproval and critique of the court's current state.|3c67c3a06fc847e2829166e24f29f343
joe biden|donald trump|Late-night TV host Jimmy Kimmel showed a video montage contrasting Biden's record with that of Trump during the fundraiser, highlighting their political differences and comparisons.|3c67c3a06fc847e2829166e24f29f343
george clooney|julia roberts|Both Hollywood celebrities were among the guests at the packed Peacock Theater in downtown Los Angeles during Biden's fundraiser, indicating their support or association with the event.|3c67c3a06fc847e2829166e24f29f343
joe biden|democrat|Biden is a Democrat who has frequently denounced specific issues or policies, as mentioned during the fundraiser and in other contexts.|3c67c3a06fc847e2829166e24f29f343
student loan payments|education secretary miguel cardona|confirmed this week that the Department of Education is preparing to restart student loan payments later this year. 'The emergency period is over, and we’re preparing our borrowers to restart,' Cardona said at a Senate Appropriations hearing on Thursday.|44e63896c45b4820a554cd23d47d55de
student loan payments|biden administration|plans to restart student loan payments no later than 60 days after June 30, despite some speculation that the pause would be extended for a 10th time.|44e63896c45b4820a554cd23d47d55de
russia|united states|As Russia threatens the largest land invasion in Europe since World War II, the United States faces the strategic question of managing two revisionist, autocratic, nuclear-armed great powers simultaneously. While some politicians and defense experts suggest moderating the response to Russia in Europe to focus on the greater threat posed by China in the Indo-Pacific, this would be a mistake as the United States remains the world’s leading power with global interests and cannot afford...|299e0341f411406abc97fbe31fd76851
russia|europe|Russia's largest land invasion in Europe since World War II poses a strategic challenge for the United States, which must manage its response while also considering its global interests.|299e0341f411406abc97fbe31fd76851
united states|europe|The United States' management of its response to Russia in Europe is a critical element of its strategy for managing two revisionist, autocratic, nuclear-armed great powers simultaneously.|299e0341f411406abc97fbe31fd76851
russia|china|Both Russia and China are considered revisionist, autocratic, nuclear-armed great powers, presenting a significant challenge to the United States' global interests and strategy for managing them simultaneously.|299e0341f411406abc97fbe31fd76851
united states|indo-pacific|While some suggest focusing on the greater threat posed by China in the Indo-Pacific, this must be considered alongside the United States' management of its response to Russia in Europe and globally.|299e0341f411406abc97fbe31fd76851
