care_harm,fairness_cheating,loyalty_betrayal,authority_subversion,sanctity_degradation,liberty_oppression,event,ideology
8,0,0,0,0,0,Iranian President Raisi Killed in Helicopter Crash,liberal
0,0,0,0,0,0,Iranian President Raisi Killed in Helicopter Crash,center
8,0,5,5,0,0,Iranian President Raisi Killed in Helicopter Crash,conservative
0,2,8,5,0,0,Trump Compares Biden Administration to ‘Gestapo’ at Private Donor Event,liberal
0,0,0,8,0,0,Trump Compares Biden Administration to ‘Gestapo’ at Private Donor Event,center
0,0,0,8,0,8,Trump Compares Biden Administration to ‘Gestapo’ at Private Donor Event,conservative
0,0,0,0,0,0,Biden Campaign Raises $30 Million At Star-Studded Hollywood Fundraiser,liberal
0,0,0,0,0,0,Biden Campaign Raises $30 Million At Star-Studded Hollywood Fundraiser,center
0,0,0,0,0,0,Biden Campaign Raises $30 Million At Star-Studded Hollywood Fundraiser,conservative
0,0,0,0,0,0,Education Secretary Says Federal Student Loan Pause Will Soon End,liberal
0,0,0,0,0,5,Education Secretary Says Federal Student Loan Pause Will Soon End,center
0,2,0,5,0,0,Education Secretary Says Federal Student Loan Pause Will Soon End,conservative
0,0,0,0,0,0,Perspectives: Americans Remain Split On Severity Of China-Russia Alliance,liberal
0,0,0,5,0,0,Perspectives: Americans Remain Split On Severity Of China-Russia Alliance,center
0,0,0,0,0,0,Perspectives: Americans Remain Split On Severity Of China-Russia Alliance,conservative
0,2,0,0,0,0,Biden Admin to Issue Protection for Unauthorized Migrants Married to US Citizens,liberal
0,0,0,0,0,2,Biden Admin to Issue Protection for Unauthorized Migrants Married to US Citizens,center
0,2,0,5,0,1,Biden Admin to Issue Protection for Unauthorized Migrants Married to US Citizens,conservative
0,2,0,0,0,0,"Youngkin Wins in Virginia, Tight Race in New Jersey",liberal
0,2,2,3,0,0,"Youngkin Wins in Virginia, Tight Race in New Jersey",center
0,2,0,0,0,0,"Youngkin Wins in Virginia, Tight Race in New Jersey",conservative
0,0,0,5,0,0,"Second Whistleblower Emerges in Trump-Ukraine Controversy, According to Attorneys of First",liberal
0,2,0,8,0,0,"Second Whistleblower Emerges in Trump-Ukraine Controversy, According to Attorneys of First",center
0,0,0,5,0,5,"Second Whistleblower Emerges in Trump-Ukraine Controversy, According to Attorneys of First",conservative
8,0,0,5,0,8,Meta Says It Mistakenly Censored Trump Assassination Photo,liberal
0,0,0,0,0,5,Meta Says It Mistakenly Censored Trump Assassination Photo,center
0,0,0,0,0,5,Meta Says It Mistakenly Censored Trump Assassination Photo,conservative
0,0,0,5,0,0,Tracking Abortion Protests in Response to Supreme Court's Roe v Wade Leak,liberal
5,0,0,0,0,0,Tracking Abortion Protests in Response to Supreme Court's Roe v Wade Leak,center
0,5,8,8,0,0,Tracking Abortion Protests in Response to Supreme Court's Roe v Wade Leak,conservative
0,2,0,5,0,0,US Intel: Putin Likely Did Not Directly Order Navalny's Death,liberal
0,0,0,0,0,0,US Intel: Putin Likely Did Not Directly Order Navalny's Death,center
5,0,0,0,0,0,US Intel: Putin Likely Did Not Directly Order Navalny's Death,conservative
5,0,0,5,0,8,Arson at Tesla’s Germany Factory Highlights Split Between Environmentalism and Renewables,liberal
5,0,0,8,0,0,Arson at Tesla’s Germany Factory Highlights Split Between Environmentalism and Renewables,center
5,0,0,0,0,0,Arson at Tesla’s Germany Factory Highlights Split Between Environmentalism and Renewables,conservative
0,0,0,5,0,0,"DA in Trump Case Acknowledges Personal Relationship, Denies Wrongdoing",liberal
0,2,0,0,0,0,"DA in Trump Case Acknowledges Personal Relationship, Denies Wrongdoing",center
2,0,0,5,0,0,"DA in Trump Case Acknowledges Personal Relationship, Denies Wrongdoing",conservative
2,0,0,0,0,0,Biden Admin Proposes Federal Safety Standards to Protect Workers From Heat,liberal
5,0,0,0,0,0,Biden Admin Proposes Federal Safety Standards to Protect Workers From Heat,center
0,0,0,0,0,0,Biden Admin Proposes Federal Safety Standards to Protect Workers From Heat,conservative
0,0,0,8,0,0,Federal Court Says Trump Not Immune In January 6 Case,liberal
0,0,0,8,0,0,Federal Court Says Trump Not Immune In January 6 Case,center
0,0,0,8,0,0,Federal Court Says Trump Not Immune In January 6 Case,conservative
0,0,0,8,0,5,Feud Over Masks on Public Transportation Revives Politicized Mandate Debate,liberal
0,0,0,0,0,0,Feud Over Masks on Public Transportation Revives Politicized Mandate Debate,center
0,0,0,8,0,5,Feud Over Masks on Public Transportation Revives Politicized Mandate Debate,conservative
0,2,5,8,0,0,Twitter Permanently Suspends Project Veritas Account,liberal
0,5,5,8,0,0,Twitter Permanently Suspends Project Veritas Account,center
0,0,0,0,0,8,Twitter Permanently Suspends Project Veritas Account,conservative
0,0,0,8,0,5,US Accuses Russia of Trying to Influence 2024 Election,liberal
0,5,0,8,0,0,US Accuses Russia of Trying to Influence 2024 Election,center
0,0,0,5,0,0,US Accuses Russia of Trying to Influence 2024 Election,conservative
0,5,8,8,0,0,‘President Musk?’: Democrats Criticize DOGE Influence After Spending Bill Fails,liberal
0,5,0,8,0,0,‘President Musk?’: Democrats Criticize DOGE Influence After Spending Bill Fails,center
0,0,0,5,0,0,‘President Musk?’: Democrats Criticize DOGE Influence After Spending Bill Fails,conservative
0,0,0,8,0,5,Supreme Court Denies Health Care Workers' Religious Challenge to NY Vaccine Mandate,liberal
2,0,0,0,0,5,Supreme Court Denies Health Care Workers' Religious Challenge to NY Vaccine Mandate,center
0,2,0,0,5,3,Supreme Court Denies Health Care Workers' Religious Challenge to NY Vaccine Mandate,conservative
0,0,0,5,0,0,House Republicans Launch Investigation Into Biden Family,liberal
