node_1|node_2|edge|chunk_id
iranian president ebrahim raisi|dead|Iranian President Ebrahim Raisi was killed in a helicopter crash in mountainous terrain and icy weather, as confirmed by Iran's state television.|aa70ec34664441549bb8c23e3402e88c
foreign minister hossein amir-abdollahian|dead|Iran's state television confirmed that Foreign Minister Hossein Amir-Abdollahian, who was also on the helicopter, was killed in the crash.|aa70ec34664441549bb8c23e3402e88c
east azerbaijan governor|alive (at the time of reporting)|According to the report, the East Azerbaijan Governor was not mentioned as dead in the context. However, it is not clear whether he/she survived the crash or not as the search teams had not found any signs of life amongst the passengers by that point.|aa70ec34664441549bb8c23e3402e88c
gestapo|administration|comparison made by Trump at a private donor event in Florida, where he criticized indictments against him and called Biden's administration as 'running a Gestapo administration'|9e3510cf47c44aa2ac1c4a734734a48d
biden's administration|gestapo|comparison made by Trump at a private donor event in Florida, where he criticized indictments against him and called Biden's administration as 'running a Gestapo administration'|9e3510cf47c44aa2ac1c4a734734a48d
biden's administration|gestapo administration|denounced by The White House over reports that Trump compared the former's administration to the Nazi-era secret police force in Germany|9e3510cf47c44aa2ac1c4a734734a48d
trump|contempt|found by a New York judge for violating a gag order in his hush money trial|9e3510cf47c44aa2ac1c4a734734a48d
joe biden|barack obama|Late-night host Jimmy Kimmel interviewed both Biden and former President Barack Obama at the fundraiser, emphasizing the importance of defeating Donald Trump in the upcoming presidential election.|0e7d97b271a24432b8706341dad3d2f3
joe biden|hollywood's brightest stars|Some of Hollywood’s brightest stars, including George Clooney, Julia Roberts, and Barbra Streisand, headlined a fundraiser for Biden, raising a record $30 million-plus for his campaign.|0e7d97b271a24432b8706341dad3d2f3
white house contest|hollywood's brightest stars|The stars emphasized the significance of the upcoming White House contest, stating that it may rank among the most consequential in U.S. history.|0e7d97b271a24432b8706341dad3d2f3
joe biden|president joe biden|The fundraiser aimed to energize would-be supporters for Joe Biden, the Democratic candidate who was headlining the event.|0e7d97b271a24432b8706341dad3d2f3
education secretary miguel cardona|student loan repayments|Cardona said that the current pause on student loan repayments will end 'no later than June 30.'|583f6743f35c44efa7cf99650941a43a
student loan repayments|biden administration's student loan forgiveness plan|The current pause on student loan repayments is set to end 60 days after June 30, or 60 days after the Supreme Court issues its long-awaited ruling on debt relief.|583f6743f35c44efa7cf99650941a43a
biden administration|strategic failure|The larger strategic failure highlighted in this crisis extends beyond this administration.|b176b3079eb84320b277a6a521f7f217
biden administration|ukraine crisis|Handled the Ukraine crisis intelligently and effectively|b176b3079eb84320b277a6a521f7f217
biden administration|deterrence plus diplomacy|Formulated a policy that could be described as ‘deterrence plus diplomacy’ in handling the Ukraine crisis|b176b3079eb84320b277a6a521f7f217
biden administration|nato|Refused to promise that Ukraine will be barred from NATO while offering to discuss almost everything else in this crisis|b176b3079eb84320b277a6a521f7f217
biden administration|european allies|Rallied its European allies in an impressive show of unity during the Ukraine crisis|b176b3079eb84320b277a6a521f7f217
biden administration|moscow|Made credible threats about the costs of a Russian invasion during the Ukraine crisis|b176b3079eb84320b277a6a521f7f217
ukraine crisis|strategic failure|Highlighted a larger strategic failure, one that extends beyond this administration.|b176b3079eb84320b277a6a521f7f217
biden administration|russia|Handled the Ukraine crisis intelligently and effectively in light of Moscow's actions during this crisis|b176b3079eb84320b277a6a521f7f217
biden administration|united states|Formulated a policy that could be described as ‘deterrence plus diplomacy’ in response to Moscow's actions during this crisis|b176b3079eb84320b277a6a521f7f217
ukraine crisis|moscow|Highlighted a larger strategic failure, one that extends beyond this administration due to Moscow's actions during this crisis|b176b3079eb84320b277a6a521f7f217
biden administration|executive action|The Biden administration is taking executive action to protect undocumented spouses of American citizens.|bc4cffa2793b49448b5ba753f73820e6
undocumented spouses of american citizens|protection from deportation|The Biden administration's executive action would shield about 500,000 immigrants from deportation.|bc4cffa2793b49448b5ba753f73820e6
biden administration|framing it as 'new action to keep families together'|The White House announced the election-year policy Tuesday, framing it as ‘new action to keep families together.’|bc4cffa2793b49448b5ba753f73820e6
biden administration|court latino voters in crucial battleground states|President Joe Biden courts Latino voters in crucial battleground states.|bc4cffa2793b49448b5ba753f73820e6
lawmakers|invited to the...|Lawmakers have been briefed on the plan and at least some have been invited to the...|bc4cffa2793b49448b5ba753f73820e6
lawmakers|democratic lawmakers|Lawmakers have been briefed on the plan, including Democratic lawmakers.|bc4cffa2793b49448b5ba753f73820e6
virginia voters|republican glenn youngkin|Chose Republican Glenn Youngkin as their next governor, a dramatic reversal for a state that had appeared solidly Democratic in recent years and a significant loss for President Biden and the party’s establishment.|b38a19db8c8043c7a18bc0ed4e2c97eb
former democratic governor terry mcauliffe|republican glenn youngkin|McAuliffe came up short in his bid to become only the second Virginia governor since the Civil War to win a second term, with key suburban districts joining rural parts of the state in favoring Youngkin by a narrow margin.|b38a19db8c8043c7a18bc0ed4e2c97eb
winsome sears|republicans appeared to sweep the other statewide races|won for lieutenant governor...|b38a19db8c8043c7a18bc0ed4e2c97eb
mark zaid|whistleblower|Mark Zaid is the attorney representing the whistleblower who sounded the alarm on President Donald Trump's dealings with Ukraine and triggered an impeachment inquiry.|c925abb135264e619a1331d30760b5ab
whistleblower|intelligence official|The second person, also described as an intelligence official, has first-hand knowledge of some of the allegations outlined in the original complaint and has spoken with the inspector general.|c925abb135264e619a1331d30760b5ab
michael atkinson|second whistleblower|The second person, also described as an intelligence official, has been interviewed by the head of the intelligence community's internal watchdog office, Michael Atkinson.|c925abb135264e619a1331d30760b5ab
donald trump|facebook|accused Facebook of plotting against his presidential reelection bid by censoring photographs of the bloody and deadly attack in Butler, Pennsylvania, on July 13.|89d6009c1ed7452fb9409902b446169e
donald trump|google|accused Google of plotting against his presidential reelection bid by censuring photographs of the bloody and deadly attack in Butler, Pennsylvania, on July 13.|89d6009c1ed7452fb9409902b446169e
facebook|the trump 'attempted assassination photo'|apologized for fact-checking a photograph of the assassination attempt he faced earlier this month.|89d6009c1ed7452fb9409902b446169e
roe v. wade|safe, accessible abortion care for all|protest against the court’s apparent plan to overturn the landmark abortion protections of Roe v. Wade|6c3998ba3ac3427da50c571dfd995141
supreme court|leaked draft supreme court opinion|apparent plan to overturn the landmark abortion protections of Roe v. Wade|6c3998ba3ac3427da50c571dfd995141
people|supreme court|took to the steps of the Supreme Court to protest for the right to safe, accessible abortion care for all|6c3998ba3ac3427da50c571dfd995141
washington, d.c.|people|flooded the steps of the Supreme Court in Washington, D.C.|6c3998ba3ac3427da50c571dfd995141
queer activists|rights to same-sex marriage and consensual sex are also...|within hours of Politico’s reporting on a leaked draft Supreme Court opinion|6c3998ba3ac3427da50c571dfd995141
u.s. intelligence agencies|vladimir putin|The U.S. intelligence agencies claimed that Vladimir Putin did not order the killing of Navalny, which Russia dismissed.|7bdb4d1b3618431fbdc267b64b249444
russia|u.s. intelligence agencies|Russia dismissed a report claiming that Vladimir Putin did not order the killing of Navalny, according to an assessment by U.S. intelligence agencies.|7bdb4d1b3618431fbdc267b64b249444
vladimir putin|navalny|Famed dissident Navalny died in an Arctic prison, which Russia did not blame Vladimir Putin for, according to the report dismissed by Russia.|7bdb4d1b3618431fbdc267b64b249444
dmitry peskov|russia's state-run media|Dmitry Peskov spoke to Russia's state-run media about dismissing a report claiming that Vladimir Putin did not order the killing of Navalny.|7bdb4d1b3618431fbdc267b64b249444
